Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Morphessor_Scores,Reading_Time,Accuracy
inplains,N,8,"['in', 'plain', 's']",2,0.62,24.97,721.4,0.97
inplanes,N,8,"['in', 'plane', 's']",2,0.62,25.37,762.59,0.87
inplarned,N,9,"['in', 'pl', 'arn', 'ed']",3,0.56,38.29,694.68,1.0
inplays,N,7,"['in', 'play', 's']",2,0.57,22.89,714.86,0.98
inplead,N,7,"['in', 'plead']",1,0.71,19.23,759.11,0.92
inplent,N,7,"['in', 'pl', 'ent']",2,0.57,27.39,725.66,0.97
inrand,N,6,"['in', 'rand']",1,0.67,19.13,642.59,1.0
inreams,N,7,"['in', 're', 'am', 's']",3,0.43,29.79,592.59,1.0
inrouse,N,7,"['in', 'ro', 'use']",2,0.57,27.29,630.06,0.95
inrows,N,6,"['in', 'row', 's']",2,0.5,24.31,632.37,0.8
inrule,N,6,"['in', 'rule']",1,0.67,19.23,643.22,0.9
inryles,N,7,"['in', 'ry', 'les']",2,0.57,28.23,563.03,1.0
insaft,N,6,"['in', 'saf', 't']",2,0.5,27.26,635.95,0.98
insand,N,6,"['in', 'sand']",1,0.67,18.79,680.18,0.95
insards,N,7,"['in', 'sard', 's']",2,0.57,26.29,647.87,1.0
insate,N,6,"['ins', 'ate']",1,0.67,21.27,736.97,0.82
inscenge,N,8,"['in', 'scen', 'ge']",2,0.62,28.63,673.11,0.97
inscerts,N,8,"['in', 'sc', 'ert', 's']",3,0.5,34.65,781.59,0.84
insco,N,5,"['in', 'sco']",1,0.6,19.03,533.24,1.0
inscold,N,7,"['ins', 'cold']",1,0.71,22.29,625.58,0.92
inscrict,N,8,"['ins', 'cr', 'ict']",2,0.62,34.37,786.42,0.92
insculled,N,9,"['in', 'scull', 'ed']",2,0.67,28.11,636.03,1.0
inship,N,6,"['in', 'ship']",1,0.67,16.95,690.34,0.92
inshits,N,7,"['in', 'shit', 's']",2,0.57,25.88,708.74,0.98
inshoosed,N,9,"['ins', 'hoo', 'sed']",2,0.67,33.55,603.73,1.0
insi,N,4,"['in', 'si']",1,0.5,17.5,536.1,1.0
insills,N,7,"['ins', 'ill', 's']",2,0.57,27.63,644.5,0.92
insine,N,6,"['in', 'sine']",1,0.67,20.33,683.53,1.0
inso,N,4,"['in', 'so']",1,0.5,17.33,572.62,0.98
insones,N,7,"['in', 'son', 'es']",2,0.57,25.6,643.16,0.97
insons,N,6,"['in', 'son', 's']",2,0.5,23.6,627.21,1.0
insorts,N,7,"['in', 'sort', 's']",2,0.57,24.9,722.0,0.92
insounds,N,8,"['in', 'sound', 's']",2,0.62,24.5,643.18,0.92
insouse,N,7,"['in', 'so', 'use']",2,0.57,27.31,593.05,0.98
inspaged,N,8,"['ins', 'page', 'd']",2,0.62,30.5,649.61,1.0
inspiant,N,8,"['in', 'spi', 'ant']",2,0.62,28.29,708.03,0.97
inspodes,N,8,"['in', 'spo', 'des']",2,0.62,29.41,644.97,0.97
instelves,N,9,"['inst', 'el', 've', 's']",3,0.56,36.49,594.64,0.98
instrarts,N,9,"['in', 'str', 'art', 's']",3,0.56,34.12,649.53,1.0
instriors,N,9,"['in', 'stri', 'ors']",2,0.67,30.92,666.0,1.0
instripe,N,8,"['in', 'strip', 'e']",2,0.62,25.06,721.61,0.84
instripes,N,9,"['in', 'strip', 'es']",2,0.67,26.63,752.76,0.74
inswills,N,8,"['ins', 'will', 's']",2,0.62,27.99,630.86,1.0
intans,N,6,"['int', 'ans']",1,0.67,22.5,610.03,0.98
intear,N,6,"['in', 'tear']",1,0.67,18.38,682.89,0.95
intears,N,7,"['in', 'tear', 's']",2,0.57,24.63,739.48,0.8
intints,N,7,"['int', 'int', 's']",2,0.57,28.34,696.61,0.95
intix,N,5,"['int', 'ix']",1,0.6,22.79,607.43,1.0
intixed,N,7,"['int', 'ix', 'ed']",2,0.57,30.57,594.15,1.0
intope,N,6,"['into', 'pe']",1,0.67,22.17,616.42,0.98
intosh,N,6,"['into', 'sh']",1,0.67,20.17,630.62,0.98
intrinds,N,8,"['int', 'rin', 'ds']",2,0.62,34.52,681.43,0.95
introlled,N,9,"['in', 'troll', 'ed']",2,0.67,26.44,756.17,0.95
introse,N,7,"['int', 'rose']",1,0.71,23.04,663.85,1.0
intrulse,N,8,"['int', 'rul', 'se']",2,0.62,32.42,673.73,0.95
intruncts,N,9,"['in', 'trunc', 'ts']",2,0.67,31.41,707.16,1.0
intrurbed,N,9,"['in', 'tru', 'r', 'bed']",3,0.56,36.31,775.71,0.95
intucks,N,7,"['in', 'tuck', 's']",2,0.57,25.11,640.11,0.92
inun,N,4,"['in', 'un']",1,0.5,15.06,529.46,1.0
invased,N,7,"['invas', 'ed']",1,0.71,20.3,736.65,0.65
invat,N,5,"['in', 'v', 'at']",2,0.4,24.66,613.05,0.98
invedes,N,7,"['in', 've', 'des']",2,0.57,28.23,736.68,1.0
invemes,N,7,"['in', 've', 'mes']",2,0.57,29.51,596.61,1.0
invide,N,6,"['in', 'vi', 'de']",2,0.5,25.3,819.69,0.79
invines,N,7,"['in', 'vin', 'es']",2,0.57,27.37,684.56,0.84
invise,N,6,"['in', 'vis', 'e']",2,0.5,25.54,750.17,0.92
invists,N,7,"['in', 'vis', 'ts']",2,0.57,29.94,734.59,0.76
invits,N,6,"['invit', 's']",1,0.67,18.28,707.42,0.95
invoid,N,6,"['in', 'void']",1,0.67,19.13,857.33,0.52
invose,N,6,"['in', 'vo', 'se']",2,0.5,27.61,614.22,0.98
invosed,N,7,"['in', 'vo', 'sed']",2,0.57,29.26,664.79,0.92
invost,N,6,"['in', 'vo', 'st']",2,0.5,26.7,614.57,0.97
inwess,N,6,"['in', 'w', 'ess']",2,0.5,27.24,514.76,1.0
inwralt,N,7,"['in', 'wr', 'alt']",2,0.57,30.75,532.72,0.97
inx,N,3,"['in', 'x']",1,0.33,17.58,590.66,0.98
inyles,N,6,"['in', 'y', 'les']",2,0.5,25.58,548.97,1.0
inyme,N,5,"['in', 'y', 'me']",2,0.4,25.05,551.82,1.0
inzent,N,6,"['in', 'z', 'ent']",2,0.5,25.55,544.92,1.0
ioun,N,4,"['io', 'un']",1,0.5,18.37,551.05,1.0
ipeb,N,4,"['ip', 'eb']",1,0.5,22.86,579.7,1.0
ipen,N,4,"['i', 'pen']",1,0.5,19.01,602.19,1.0
iplate,N,6,"['ip', 'late']",1,0.67,22.03,611.11,1.0
ippe,N,4,"['ip', 'pe']",1,0.5,22.68,516.5,1.0
ipsess,N,6,"['ip', 'sess']",1,0.67,23.22,573.95,1.0
ipsessed,N,8,"['ip', 'sess', 'ed']",2,0.62,31.0,631.17,1.0
ipt,N,3,"['ip', 't']",1,0.33,19.11,549.26,0.98
irches,N,6,"['ir', 'ches']",1,0.67,22.79,587.89,1.0
ireer,N,5,"['i', 're', 'er']",2,0.4,22.13,505.75,1.0
ireing,N,6,"['i', 're', 'ing']",2,0.5,22.2,576.78,1.0
iremess,N,7,"['i', 're', 'mess']",2,0.57,25.23,573.68,1.0
ires,N,4,"['ir', 'es']",1,0.5,19.56,575.03,0.88
irestack,N,8,"['i', 're', 'stack']",2,0.62,25.92,579.59,1.0
ireweds,N,7,"['i', 're', 'wed', 's']",3,0.43,32.68,567.65,1.0
irou,N,4,"['i', 'rou']",1,0.5,18.93,521.82,1.0
irred,N,5,"['ir', 'red']",1,0.6,20.42,564.7,0.95
irtbaps,N,7,"['ir', 't', 'b', 'aps']",3,0.43,37.81,564.83,1.0
irtbeges,N,8,"['ir', 't', 'beg', 'es']",3,0.5,38.26,525.64,1.0
irtbext,N,7,"['ir', 't', 'b', 'ext']",3,0.43,37.11,564.29,1.0
irtbield,N,8,"['ir', 't', 'bi', 'eld']",3,0.5,39.19,519.71,1.0
irtbields,N,9,"['ir', 't', 'bi', 'eld', 's']",4,0.44,45.43,566.49,1.0
irtered,N,7,"['ir', 'ter', 'ed']",2,0.57,29.06,609.51,1.0
irtet,N,5,"['i', 'rte', 't']",2,0.4,27.33,528.83,1.0
irtfacts,N,8,"['ir', 't', 'fact', 's']",3,0.5,34.46,624.45,1.0
irtgall,N,7,"['ir', 't', 'gall']",2,0.57,29.03,545.34,1.0
irthqus,N,7,"['ir', 'th', 'qu', 's']",3,0.43,35.53,536.26,1.0
irting,N,6,"['ir', 't', 'ing']",2,0.5,25.77,586.91,0.92
irtly,N,5,"['ir', 't', 'ly']",2,0.4,26.9,577.24,1.0
irzo,N,4,"['ir', 'zo']",1,0.5,23.48,549.55,1.0
isade,N,5,"['is', 'a', 'de']",2,0.4,24.26,570.43,1.0
isaft,N,5,"['is', 'a', 'ft']",2,0.4,26.74,557.26,1.0
isbured,N,7,"['is', 'bur', 'ed']",2,0.57,27.85,586.13,0.98
iscer,N,5,"['is', 'cer']",1,0.6,21.46,547.16,1.0
iscers,N,6,"['is', 'c', 'ers']",2,0.5,27.49,579.37,0.98
isces,N,5,"['is', 'ces']",1,0.6,21.75,575.03,0.97
iscest,N,6,"['is', 'c', 'est']",2,0.5,27.16,747.47,0.78
iscing,N,6,"['is', 'c', 'ing']",2,0.5,24.51,645.18,1.0
iscre,N,5,"['is', 'cre']",1,0.6,20.36,549.5,1.0
isearthed,N,9,"['is', 'earth', 'ed']",2,0.67,27.22,596.79,1.0
iseer,N,5,"['is', 'eer']",1,0.6,21.05,527.51,1.0
isems,N,5,"['is', 'em', 's']",2,0.4,25.08,547.14,0.97
isers,N,5,"['is', 'ers']",1,0.6,19.8,602.31,0.98
isews,N,5,"['i', 'sew', 's']",2,0.4,25.11,513.66,1.0
isher,N,5,"['ish', 'er']",1,0.6,18.45,587.0,0.95
ishers,N,6,"['ish', 'ers']",1,0.67,21.5,569.05,1.0
ishes,N,5,"['ish', 'es']",1,0.6,19.52,600.1,1.0
isined,N,6,"['is', 'in', 'ed']",2,0.5,24.18,607.36,0.98
ision,N,5,"['is', 'ion']",1,0.6,17.69,576.74,1.0
isions,N,6,"['is', 'ions']",1,0.67,20.65,583.79,0.98
isket,N,5,"['is', 'ket']",1,0.6,20.77,545.76,0.97
islate,N,6,"['is', 'late']",1,0.67,19.71,693.08,0.95
islens,N,6,"['is', 'lens']",1,0.67,21.05,601.03,1.0
isless,N,6,"['is', 'less']",1,0.67,18.43,664.71,0.97
islocks,N,7,"['is', 'lock', 's']",2,0.57,25.8,639.39,0.95
isly,N,4,"['is', 'ly']",1,0.5,17.95,558.1,1.0
ismend,N,6,"['ism', 'end']",1,0.67,19.3,548.67,1.0
isox,N,4,"['is', 'ox']",1,0.5,20.36,537.1,1.0
ispay,N,5,"['is', 'pay']",1,0.6,18.82,563.76,1.0
ispet,N,5,"['is', 'pet']",1,0.6,20.01,573.31,0.98
ispets,N,6,"['is', 'pet', 's']",2,0.5,26.26,617.42,1.0
isphuecked,N,10,"['isp', 'hu', 'e', 'ck', 'ed']",4,0.5,48.28,572.84,1.0
isphuened,N,9,"['isp', 'hu', 'en', 'ed']",3,0.56,38.81,572.21,1.0
isplo,N,5,"['is', 'plo']",1,0.6,21.24,529.62,1.0
issail,N,6,"['is', 'sail']",1,0.67,20.01,593.92,1.0
issawn,N,6,"['is', 'saw', 'n']",2,0.5,27.99,545.29,1.0
issen,N,5,"['is', 'sen']",1,0.6,21.24,543.28,1.0
isser,N,5,"['is', 'ser']",1,0.6,19.71,549.39,1.0
isset,N,5,"['is', 'set']",1,0.6,19.11,644.6,0.92
isside,N,6,"['is', 'side']",1,0.67,18.7,641.21,1.0
issish,N,6,"['is', 's', 'ish']",2,0.5,25.76,574.47,1.0
isslaughts,N,10,"['is', 'slaught', 's']",2,0.7,26.89,608.17,1.0
issled,N,6,"['is', 's', 'led']",2,0.5,27.7,602.41,1.0
issless,N,7,"['is', 's', 'less']",2,0.57,24.67,610.52,1.0
isso,N,4,"['is', 'so']",1,0.5,18.75,530.55,1.0
istech,N,6,"['is', 'tech']",1,0.67,19.8,573.38,1.0
isteed,N,6,"['ist', 'e', 'ed']",2,0.5,24.93,598.92,0.98
istend,N,6,"['ist', 'end']",1,0.67,18.94,617.98,1.0
istenged,N,8,"['ist', 'eng', 'ed']",2,0.62,28.39,600.45,1.0
istent,N,6,"['ist', 'ent']",1,0.67,19.53,671.31,0.97
isterns,N,7,"['i', 'stern', 's']",2,0.57,25.67,592.82,0.98
istests,N,7,"['is', 'test', 's']",2,0.57,25.1,616.12,1.0
istuned,N,7,"['ist', 'un', 'ed']",2,0.57,25.16,653.92,1.0
isucks,N,6,"['i', 'suck', 's']",2,0.5,25.18,561.26,1.0
isward,N,6,"['is', 'ward']",1,0.67,18.73,596.87,1.0
isyx,N,4,"['is', 'y', 'x']",2,0.25,26.45,550.26,1.0
itcious,N,7,"['it', 'c', 'ious']",2,0.57,27.75,640.57,0.97
iteing,N,6,"['ite', 'ing']",1,0.67,19.45,549.45,1.0
ites,N,4,"['it', 'es']",1,0.5,17.87,565.26,0.95
ithed,N,5,"['it', 'hed']",1,0.6,21.51,604.18,0.88
ithweons,N,8,"['i', 'th', 'we', 'on', 's']",4,0.38,40.06,584.95,1.0
itix,N,4,"['it', 'ix']",1,0.5,20.7,544.63,1.0
itle,N,4,"['it', 'le']",1,0.5,18.26,643.8,0.95
itled,N,5,"['itl', 'ed']",1,0.6,21.28,573.78,1.0
iton,N,4,"['i', 'ton']",1,0.5,17.24,622.95,1.0
itpolf,N,6,"['it', 'pol', 'f']",2,0.5,28.95,583.11,0.97
itreons,N,7,"['it', 're', 'on', 's']",3,0.43,30.28,618.84,1.0
itter,N,5,"['it', 'ter']",1,0.6,19.6,615.45,0.95
itters,N,6,"['itt', 'ers']",1,0.67,22.75,635.13,0.97
itz,N,3,"['it', 'z']",1,0.33,17.97,576.34,0.98
ivets,N,5,"['ive', 'ts']",1,0.6,22.46,572.52,1.0
ixcur,N,5,"['ix', 'cur']",1,0.6,21.94,539.95,1.0
ixcurs,N,6,"['ix', 'curs']",1,0.67,22.97,537.3,1.0
ixed,N,4,"['ix', 'ed']",1,0.5,20.18,561.5,1.0
ixills,N,6,"['ix', 'ill', 's']",2,0.5,28.07,509.58,1.0
ixing,N,5,"['ix', 'ing']",1,0.6,19.65,537.69,1.0
ixise,N,5,"['ix', 'is', 'e']",2,0.4,27.32,580.0,1.0
ixtall,N,6,"['ix', 'tall']",1,0.67,23.11,531.47,1.0
iyls,N,4,"['i', 'yl', 's']",2,0.25,24.97,547.47,1.0
ize,N,3,['ize'],0,0.67,11.47,582.88,0.99
jabon,N,5,"['jab', 'on']",1,0.6,19.89,606.75,0.95
jabour,N,6,"['ja', 'bour']",1,0.67,22.08,616.35,0.92
jacact,N,6,"['jac', 'act']",1,0.67,22.59,593.42,1.0
jacards,N,7,"['ja', 'card', 's']",2,0.57,26.49,606.52,0.89
jaccists,N,8,"['jac', 'cis', 'ts']",2,0.62,35.77,617.0,1.0
jace,N,4,"['jac', 'e']",1,0.5,20.18,640.35,0.92
jackbats,N,8,"['jack', 'bats']",1,0.75,22.7,640.26,0.92
jackbeans,N,9,"['jack', 'bean', 's']",2,0.67,29.42,738.72,0.82
jacknads,N,8,"['jack', 'nad', 's']",2,0.62,29.93,633.4,1.0
jackpeat,N,8,"['jack', 'p', 'eat']",2,0.62,28.93,687.79,0.95
jaclant,N,7,"['jac', 'l', 'ant']",2,0.57,29.86,556.26,0.98
jacoor,N,6,"['ja', 'co', 'or']",2,0.5,26.9,527.32,1.0
jacoors,N,7,"['ja', 'co', 'ors']",2,0.57,30.6,572.26,0.98
jadgie,N,6,"['ja', 'd', 'g', 'ie']",3,0.33,35.39,601.0,0.98
jadgies,N,7,"['ja', 'd', 'gi', 'es']",3,0.43,37.47,604.95,0.97
jadging,N,7,"['ja', 'd', 'ging']",2,0.57,29.98,693.11,0.98
jads,N,4,"['ja', 'ds']",1,0.5,22.08,582.92,1.0
jaf,N,3,"['ja', 'f']",1,0.33,19.29,528.88,0.97
jage,N,4,"['j', 'age']",1,0.5,19.55,605.8,1.0
jagless,N,7,"['ja', 'g', 'less']",2,0.57,27.37,676.09,0.88
jagracks,N,8,"['ja', 'grac', 'ks']",2,0.62,34.3,630.49,1.0
jagunct,N,7,"['ja', 'gun', 'c', 't']",3,0.43,35.08,581.24,1.0
jaguor,N,6,"['ja', 'gu', 'or']",2,0.5,28.13,667.85,0.98
jaices,N,6,"['ja', 'ic', 'es']",2,0.5,27.57,553.55,1.0
jaicing,N,7,"['ja', 'ic', 'ing']",2,0.57,26.56,566.13,1.0
jaided,N,6,"['ja', 'id', 'ed']",2,0.5,28.44,679.44,0.7
jaiding,N,7,"['ja', 'id', 'ing']",2,0.57,27.91,617.27,0.95
jailcurd,N,8,"['jail', 'cur', 'd']",2,0.62,29.96,647.88,1.0
jailferds,N,9,"['jail', 'fer', 'ds']",2,0.67,34.48,635.63,1.0
jaked,N,5,"['ja', 'k', 'ed']",2,0.4,26.53,663.09,0.97
jalayed,N,7,"['ja', 'lay', 'ed']",2,0.57,27.84,561.15,1.0
jaleuse,N,7,"['ja', 'le', 'use']",2,0.57,29.37,541.22,0.97
jalf,N,4,"['ja', 'lf']",1,0.5,22.42,561.13,1.0
jalide,N,6,"['ja', 'li', 'de']",2,0.5,27.54,602.32,1.0
jalinct,N,7,"['ja', 'lin', 'c', 't']",3,0.43,35.15,588.68,1.0
jall,N,4,"['j', 'all']",1,0.5,18.66,677.09,0.92
jalled,N,6,"['j', 'all', 'ed']",2,0.5,26.44,684.97,0.95
jallee,N,6,"['j', 'all', 'ee']",2,0.5,28.99,569.17,1.0
jalloos,N,7,"['j', 'al', 'loos']",2,0.57,29.17,580.1,1.0
jalls,N,5,"['ja', 'lls']",1,0.6,23.33,660.62,0.97
jalows,N,6,"['ja', 'low', 's']",2,0.5,25.64,601.95,1.0
jals,N,4,"['j', 'al', 's']",2,0.25,24.22,572.5,1.0
jalts,N,5,"['j', 'alt', 's']",2,0.4,27.32,589.79,0.95
jaluel,N,6,"['ja', 'lu', 'el']",2,0.5,28.91,542.32,1.0
jamby,N,5,"['jam', 'by']",1,0.6,20.62,599.0,1.0
jamued,N,6,"['jam', 'u', 'ed']",2,0.5,27.67,559.51,1.0
jand,N,4,"['j', 'and']",1,0.5,18.62,579.11,1.0
janding,N,7,"['jan', 'ding']",1,0.71,24.88,581.34,1.0
janicked,N,8,"['ja', 'nick', 'ed']",2,0.62,29.03,611.1,0.98
janked,N,6,"['jan', 'k', 'ed']",2,0.5,29.0,750.82,0.92
janking,N,7,"['jan', 'king']",1,0.71,23.85,680.3,0.92
janned,N,6,"['j', 'ann', 'ed']",2,0.5,28.59,631.62,1.0
jansest,N,7,"['jan', 's', 'est']",2,0.57,29.37,593.51,1.0
jantness,N,8,"['j', 'ant', 'ness']",2,0.62,28.8,650.89,1.0
janwon,N,6,"['jan', 'w', 'on']",2,0.5,29.11,533.08,0.97
japigned,N,8,"['ja', 'p', 'ign', 'ed']",3,0.5,37.22,569.66,1.0
japorms,N,7,"['ja', 'por', 'ms']",2,0.57,33.2,543.38,1.0
jarate,N,6,"['ja', 'rate']",1,0.67,21.46,603.64,0.9
jarbish,N,7,"['j', 'arb', 'ish']",2,0.57,31.97,630.79,1.0
jares,N,5,"['ja', 're', 's']",2,0.4,23.72,626.72,0.97
jark,N,4,"['ja', 'r', 'k']",2,0.25,26.29,642.75,0.97
jarker,N,6,"['ja', 'r', 'ker']",2,0.5,29.95,593.0,0.97
jarkers,N,7,"['ja', 'r', 'ker', 's']",3,0.43,36.2,615.29,1.0
jarking,N,7,"['ja', 'r', 'king']",2,0.57,28.92,646.79,0.98
jarky,N,5,"['ja', 'r', 'ky']",2,0.4,29.95,573.24,0.95
jarls,N,5,"['j', 'arl', 's']",2,0.4,28.28,585.77,0.98
jarmont,N,7,"['ja', 'r', 'mont']",2,0.57,29.77,597.3,1.0
jarsy,N,5,"['j', 'ars', 'y']",2,0.4,29.15,553.39,1.0
jarved,N,6,"['ja', 'r', 'v', 'ed']",3,0.33,34.58,662.22,1.0
jassel,N,6,"['ja', 's', 'sel']",2,0.5,28.07,636.68,1.0
jasses,N,6,"['j', 'ass', 'es']",2,0.5,29.12,551.71,1.0
jassul,N,6,"['j', 'ass', 'ul']",2,0.5,30.08,595.95,1.0
jassuls,N,7,"['j', 'ass', 'uls']",2,0.57,32.76,550.84,0.97
jast,N,4,"['ja', 'st']",1,0.5,19.07,650.35,1.0
jasta,N,5,"['ja', 'sta']",1,0.6,21.13,566.13,1.0
jastal,N,6,"['ja', 'stal']",1,0.67,22.64,575.16,0.97
jathly,N,6,"['ja', 'th', 'ly']",2,0.5,27.82,584.61,1.0
jatting,N,7,"['j', 'att', 'ing']",2,0.57,28.12,638.59,0.97
jau,N,3,"['ja', 'u']",1,0.33,18.93,516.97,0.98
jauced,N,6,"['ja', 'u', 'ced']",2,0.5,29.81,665.18,0.95
jaught,N,6,"['j', 'aught']",1,0.67,20.75,640.82,0.92
jaughts,N,7,"['j', 'aught', 's']",2,0.57,27.0,683.15,0.89
jautch,N,6,"['ja', 'ut', 'ch']",2,0.5,28.61,558.6,1.0
jauzes,N,6,"['ja', 'u', 'z', 'es']",3,0.33,35.53,581.82,0.98
jav,N,3,"['ja', 'v']",1,0.33,19.26,562.05,0.99
javid,N,5,"['j', 'avid']",1,0.6,22.03,640.76,0.97
jawect,N,6,"['jaw', 'ect']",1,0.67,24.32,566.0,0.97
jawl,N,4,"['jaw', 'l']",1,0.5,20.36,675.56,0.92
jawls,N,5,"['jaw', 'l', 's']",2,0.4,26.6,630.88,0.9
jaxcone,N,7,"['ja', 'x', 'con', 'e']",3,0.43,35.58,558.76,1.0
jayoring,N,8,"['ja', 'yo', 'ring']",2,0.62,30.63,594.87,1.0
jea,N,3,"['je', 'a']",1,0.33,19.05,567.51,0.96
jeads,N,5,"['je', 'ad', 's']",2,0.4,27.19,609.86,0.95
jeap,N,4,"['je', 'ap']",1,0.5,22.34,729.53,0.8
jeaps,N,5,"['je', 'aps']",1,0.6,23.87,622.19,0.83
jear,N,4,"['j', 'ear']",1,0.5,20.7,692.32,0.85
jeared,N,6,"['je', 'a', 'red']",2,0.5,28.16,714.53,0.69
jeat,N,4,"['j', 'eat']",1,0.5,20.18,592.47,1.0
jecks,N,5,"['jec', 'ks']",1,0.6,24.7,680.03,1.0
jedal,N,5,"['je', 'dal']",1,0.6,24.38,586.7,0.97
jeddy,N,5,"['j', 'eddy']",1,0.6,22.25,620.87,1.0
jedes,N,5,"['je', 'des']",1,0.6,22.59,553.92,1.0
jedge,N,5,"['j', 'edge']",1,0.6,21.34,680.2,0.95
jedus,N,5,"['je', 'dus']",1,0.6,24.09,584.83,1.0
jee,N,3,"['je', 'e']",1,0.33,18.88,612.53,0.97
jeed,N,4,"['je', 'ed']",1,0.5,19.98,613.42,0.92
jeeds,N,5,"['je', 'ed', 's']",2,0.4,26.23,614.84,1.0
jeelers,N,7,"['je', 'el', 'ers']",2,0.57,30.95,675.32,0.97
jeem,N,4,"['je', 'em']",1,0.5,21.47,610.27,1.0
jeen,N,4,"['je', 'en']",1,0.5,19.79,576.48,1.0
jeendive,N,8,"['je', 'end', 'ive']",2,0.62,30.72,575.14,1.0
jeendived,N,9,"['je', 'end', 'iv', 'ed']",3,0.56,38.08,569.35,1.0
jeezy,N,5,"['je', 'ez', 'y']",2,0.4,29.56,625.65,0.95
jegs,N,4,"['je', 'g', 's']",2,0.25,26.22,718.2,0.95
jejase,N,6,"['je', 'ja', 'se']",2,0.5,30.86,508.29,1.0
jel,N,3,"['j', 'el']",1,0.33,18.89,611.31,0.87
jeld,N,4,"['j', 'eld']",1,0.5,21.85,601.65,1.0
jelded,N,6,"['j', 'eld', 'ed']",2,0.5,29.63,626.22,0.97
jeldure,N,7,"['j', 'eld', 'ure']",2,0.57,31.76,593.05,1.0
jellage,N,7,"['jell', 'age']",1,0.71,22.17,601.44,0.97
jellain,N,7,"['jell', 'a', 'in']",2,0.57,26.66,604.24,1.0
jelo,N,4,"['je', 'lo']",1,0.5,21.67,633.72,0.92
jeme,N,4,"['je', 'me']",1,0.5,21.65,529.62,1.0
jempy,N,5,"['j', 'emp', 'y']",2,0.4,29.3,605.45,1.0
jencers,N,7,"['j', 'enc', 'ers']",2,0.57,30.73,603.82,1.0
jendar,N,6,"['j', 'end', 'ar']",2,0.5,27.57,573.17,1.0
jendars,N,7,"['j', 'end', 'ars']",2,0.57,30.16,602.39,0.97
jeninx,N,6,"['je', 'nin', 'x']",2,0.5,33.51,571.53,1.0
jenisks,N,7,"['j', 'en', 'is', 'ks']",3,0.43,38.08,554.11,1.0
jent,N,4,"['j', 'ent']",1,0.5,19.42,611.0,0.98
jents,N,5,"['j', 'ent', 's']",2,0.4,25.67,587.34,1.0
jenwet,N,6,"['j', 'en', 'wet']",2,0.5,28.74,586.4,1.0
jep,N,3,"['je', 'p']",1,0.33,19.82,566.52,0.99
jerbin,N,6,"['j', 'er', 'bin']",2,0.5,28.34,620.4,1.0
jerfees,N,7,"['j', 'er', 'fee', 's']",3,0.43,35.28,561.95,1.0
jesh,N,4,"['je', 'sh']",1,0.5,20.99,548.61,0.95
jesmey,N,6,"['je', 's', 'mey']",2,0.5,29.64,550.59,0.92
jesney,N,6,"['je', 's', 'ney']",2,0.5,28.47,584.77,1.0
jesties,N,7,"['je', 'sti', 'es']",2,0.57,30.95,631.54,0.95
jeta,N,4,"['jet', 'a']",1,0.5,18.67,587.78,0.97
jeters,N,6,"['jet', 'ers']",1,0.67,22.06,616.44,0.95
jeting,N,6,"['jet', 'ing']",1,0.67,19.08,723.55,0.87
jetsaw,N,6,"['jet', 'saw']",1,0.67,22.46,717.04,0.82
jetsaws,N,7,"['jet', 'saw', 's']",2,0.57,28.71,662.76,0.9
jety,N,4,"['jet', 'y']",1,0.5,19.28,577.71,0.9
jewbocks,N,8,"['jew', 'b', 'ock', 's']",3,0.5,38.33,613.79,1.0
jewless,N,7,"['jew', 'less']",1,0.71,22.36,764.3,0.88
jexhin,N,6,"['j', 'exh', 'in']",2,0.5,29.08,566.89,1.0
jexhins,N,7,"['j', 'ex', 'hins']",2,0.57,31.06,563.25,1.0
jexnal,N,6,"['j', 'ex', 'n', 'al']",3,0.33,34.28,582.18,1.0
jexper,N,6,"['j', 'ex', 'per']",2,0.5,27.6,630.18,1.0
jians,N,5,"['ji', 'ans']",1,0.6,22.62,571.03,1.0
jiaves,N,6,"['ji', 'ave', 's']",2,0.5,29.96,550.54,0.98
jiche,N,5,"['ji', 'che']",1,0.6,21.58,595.68,0.97
jickans,N,7,"['j', 'ick', 'ans']",2,0.57,31.66,550.22,1.0
jicked,N,6,"['j', 'ick', 'ed']",2,0.5,28.65,682.81,0.95
jicks,N,5,"['j', 'ick', 's']",2,0.4,27.11,567.56,0.97
jid,N,3,"['ji', 'd']",1,0.33,19.73,587.66,1.0
jido,N,4,"['ji', 'do']",1,0.5,20.67,619.53,0.95
jidyl,N,5,"['ji', 'd', 'yl']",2,0.4,30.23,515.52,1.0
jier,N,4,"['ji', 'er']",1,0.5,19.01,541.51,0.98
jiffing,N,7,"['j', 'iff', 'ing']",2,0.57,28.4,718.93,0.82
jifths,N,6,"['j', 'if', 'th', 's']",3,0.33,35.17,580.32,1.0
jifto,N,5,"['j', 'if', 'to']",2,0.4,27.79,560.32,1.0
jigh,N,4,"['j', 'igh']",1,0.5,22.03,522.05,1.0
jight,N,5,"['j', 'igh', 't']",2,0.4,29.25,655.68,1.0
jights,N,6,"['j', 'igh', 'ts']",2,0.5,33.11,604.05,1.0
jigyls,N,6,"['ji', 'g', 'yl', 's']",3,0.33,36.34,591.5,1.0
jijod,N,5,"['ji', 'jo', 'd']",2,0.4,30.23,553.11,1.0
jike,N,4,"['ji', 'ke']",1,0.5,21.97,650.38,0.92
